age,value,sex
0 meses,3.3,Masculino,Peso por defecto
1 meses,4.5,Masculino,Peso por defecto
2 meses,5.6,Masculino,Peso por defecto
3 meses,6.4,Masculino,Peso por defecto
4 meses,7,Masculino,Peso por defecto
5 meses,7.5,Masculino,Peso por defecto
6 meses,7.9,Masculino,Peso por defecto
7 meses,8.3,Masculino,Peso por defecto
8 meses,8.6,Masculino,Peso por defecto
9 meses,8.9,Masculino,Peso por defecto
10 meses,9.2,Masculino,Peso por defecto
11 meses,9.4,Masculino,Peso por defecto
1 años,10.9,Masculino,Peso por defecto
2 años,13.3,Masculino,Peso por defecto
3 años,15.3,Masculino,Peso por defecto
4 años,17.3,Masculino,Peso por defecto
5 años,19.5,Masculino,Peso por defecto
6 años,21.8,Masculino,Peso por defecto
7 años,24.2,Masculino,Peso por defecto
8 años,26.8,Masculino,Peso por defecto
9 años,29.6,Masculino,Peso por defecto
10 años,32.9,Masculino,Peso por defecto
11 años,36.7,Masculino,Peso por defecto
12 años,41.6,Masculino,Peso por defecto
13 años,47.4,Masculino,Peso por defecto
14 años,53.7,Masculino,Peso por defecto
15 años,58.8,Masculino,Peso por defecto
16 años,63.1,Masculino,Peso por defecto
17 años,66.1,Masculino,Peso por defecto
18-29 años,67.4,Masculino,Peso por defecto
30-59 años,66.6,Masculino,Peso por defecto
60+ años,64.3,Masculino,Peso por defecto
0 meses,3.2,Femenino,Peso por defecto
1 meses,4.2,Femenino,Peso por defecto
2 meses,5.1,Femenino,Peso por defecto
3 meses,5.8,Femenino,Peso por defecto
4 meses,6.4,Femenino,Peso por defecto
5 meses,6.9,Femenino,Peso por defecto
6 meses,7.3,Femenino,Peso por defecto
7 meses,7.6,Femenino,Peso por defecto
8 meses,7.9,Femenino,Peso por defecto
9 meses,8.2,Femenino,Peso por defecto
10 meses,8.5,Femenino,Peso por defecto
11 meses,8.7,Femenino,Peso por defecto
1 años,10.2,Femenino,Peso por defecto
2 años,12.7,Femenino,Peso por defecto
3 años,15,Femenino,Peso por defecto
4 años,17.2,Femenino,Peso por defecto
5 años,19.1,Femenino,Peso por defecto
6 años,21.3,Femenino,Peso por defecto
7 años,23.7,Femenino,Peso por defecto
8 años,26.7,Femenino,Peso por defecto
9 años,29.9,Femenino,Peso por defecto
10 años,34,Femenino,Peso por defecto
11 años,38.7,Femenino,Peso por defecto
12 años,43.6,Femenino,Peso por defecto
13 años,48.1,Femenino,Peso por defecto
14 años,51.5,Femenino,Peso por defecto
15 años,53.9,Femenino,Peso por defecto
16 años,55.3,Femenino,Peso por defecto
17 años,56.3,Femenino,Peso por defecto
18-29 años,57.7,Femenino,Peso por defecto
30-59 años,56.3,Femenino,Peso por defecto
60+ años,54.2,Femenino,Peso por defecto
